iter	Passed	Remaining
0	117	117557
1	119	59701
2	121	40282
3	122	30568
4	124	24767
5	125	20847
6	127	18045
7	128	15927
8	129	14284
9	130	12954
10	132	11870
11	133	10956
12	134	10178
13	135	9511
14	135	8929
15	137	8430
16	138	7982
17	138	7581
18	139	7219
19	140	6895
20	141	6600
21	142	6340
22	143	6100
23	144	5875
24	145	5669
25	146	5478
26	146	5297
27	147	5131
28	148	4979
29	149	4836
30	150	4706
31	151	4579
32	152	4465
33	153	4354
34	154	4248
35	154	4147
36	155	4057
37	156	3968
38	157	3885
39	158	3803
40	159	3729
41	160	3658
42	161	3587
43	162	3521
44	162	3456
45	163	3398
46	164	3339
47	165	3284
48	166	3232
49	167	3181
50	168	3130
51	169	3086
52	170	3043
53	171	2998
54	172	2956
55	172	2915
56	173	2876
57	174	2837
58	175	2800
59	176	2765
60	177	2730
61	178	2695
62	178	2662
63	179	2629
64	180	2599
65	181	2567
66	182	2537
67	182	2507
68	183	2479
69	184	2453
70	185	2431
71	186	2406
72	187	2382
73	188	2358
74	189	2337
75	190	2315
76	191	2295
77	192	2273
78	193	2253
79	194	2231
80	195	2212
81	195	2193
82	196	2170
83	197	2151
84	198	2134
85	199	2115
86	199	2097
87	200	2078
88	201	2063
89	202	2046
90	203	2031
91	204	2016
92	205	2002
93	206	1987
94	207	1974
95	208	1960
96	209	1947
97	210	1933
98	210	1919
99	211	1906
100	212	1892
101	213	1878
102	214	1865
103	215	1852
104	215	1841
105	216	1829
106	217	1817
107	218	1805
108	219	1793
109	220	1781
110	221	1770
111	221	1758
112	222	1747
113	223	1736
114	224	1725
115	224	1714
116	225	1702
117	226	1692
118	227	1682
119	228	1672
120	229	1664
121	229	1654
122	230	1646
123	231	1638
124	232	1630
125	233	1621
126	234	1611
127	235	1602
128	236	1594
129	236	1585
130	237	1577
131	238	1570
132	239	1563
133	240	1556
134	241	1548
135	242	1542
136	243	1534
137	244	1527
138	245	1519
139	246	1513
140	247	1506
141	247	1497
142	248	1491
143	250	1486
144	250	1479
145	252	1474
146	252	1467
147	253	1460
148	254	1455
149	255	1448
150	256	1442
151	257	1437
152	258	1431
153	259	1425
154	260	1418
155	261	1413
156	262	1407
157	263	1402
158	264	1396
159	265	1391
160	265	1383
161	266	1377
162	267	1371
163	267	1366
164	268	1360
165	269	1354
166	270	1348
167	271	1344
168	272	1338
169	273	1334
170	274	1329
171	275	1324
172	276	1319
173	276	1314
174	277	1309
175	278	1303
176	279	1299
177	280	1293
178	281	1289
179	281	1284
180	282	1279
181	283	1274
182	284	1269
183	285	1265
184	286	1260
185	286	1255
186	287	1251
187	288	1246
188	289	1242
189	290	1237
190	291	1233
191	291	1228
192	292	1224
193	293	1219
194	294	1215
195	295	1211
196	296	1207
197	296	1202
198	297	1198
199	298	1194
200	299	1190
201	300	1186
202	301	1182
203	302	1178
204	302	1174
205	303	1170
206	304	1166
207	305	1162
208	306	1158
209	307	1155
210	307	1151
211	308	1147
212	309	1144
213	310	1140
214	311	1136
215	312	1133
216	313	1129
217	313	1126
218	314	1122
219	315	1119
220	316	1115
221	317	1112
222	318	1108
223	319	1105
224	319	1101
225	320	1098
226	321	1095
227	322	1092
228	323	1089
229	324	1085
230	325	1082
231	326	1079
232	326	1076
233	327	1073
234	328	1069
235	329	1066
236	330	1064
237	331	1061
238	332	1058
239	333	1054
240	333	1051
241	334	1048
242	335	1045
243	336	1042
244	337	1039
245	338	1036
246	338	1033
247	339	1030
248	340	1027
249	341	1024
250	342	1021
251	343	1018
252	343	1015
253	344	1012
254	345	1009
255	346	1006
256	346	1003
257	347	1000
258	348	997
259	349	994
260	350	992
261	351	989
262	352	986
263	352	984
264	353	981
265	354	978
266	355	976
267	356	973
268	357	971
269	358	968
270	359	966
271	360	963
272	360	960
273	361	958
274	362	955
275	363	953
276	364	950
277	365	948
278	365	945
279	366	943
280	367	940
281	368	938
282	369	935
283	370	932
284	370	930
285	371	928
286	372	925
287	373	923
288	374	920
289	375	918
290	375	916
291	376	913
292	377	911
293	378	909
294	379	906
295	380	904
296	381	902
297	382	900
298	383	898
